user_id,age,location,signup_date,total_purchases,total_events
168,59,Port Kelsey,2025-03-27,7.0,25
169,52,East Charlene,2025-02-05,3.0,22
170,35,Jasonfurt,2024-11-06,2.0,19
171,45,Amberville,2024-06-12,3.0,21
172,27,Kingville,2024-06-27,6.0,27
173,56,Calvinmouth,2026-01-27,4.0,19
174,59,East Kelsey,2025-07-13,4.0,21
175,23,Melissaview,2024-04-24,4.0,13
176,55,Lake Kevinburgh,2025-11-02,5.0,19
177,58,East Johnmouth,2024-10-10,6.0,22
178,21,Kristenchester,2024-09-17,6.0,29
179,31,Nathanton,2025-06-09,5.0,22
180,32,East Morgan,2024-03-27,5.0,19
181,40,Danielport,2025-02-18,8.0,22
182,35,Glennstad,2025-09-25,4.0,20
183,41,Wallacefort,2024-12-12,4.0,19
184,31,Rebeccaburgh,2024-09-01,4.0,13
185,52,Brandonfort,2025-03-21,4.0,19
186,48,Summersburgh,2025-08-24,4.0,17
187,42,South Edward,2025-05-25,6.0,23
188,57,Shannonborough,2026-01-30,4.0,12
189,54,Port Scott,2025-10-01,5.0,19
190,28,Boyerview,2024-10-14,6.0,19
191,56,Daleport,2025-12-16,4.0,16
192,26,Allenview,2024-09-20,2.0,20
193,43,East Scott,2025-05-21,3.0,24
194,37,Port Anthony,2024-08-25,4.0,17
195,28,Donaldport,2025-10-01,3.0,20
196,32,New William,2024-05-12,2.0,15
197,21,South Robert,2025-03-08,2.0,23
198,55,South Catherine,2025-07-08,5.0,20
199,29,Lake Ashley,2024-12-14,3.0,21
200,24,South Micheleborough,2025-02-10,2.0,10
201,60,Mcleanton,2026-01-13,3.0,13
202,60,Port Jimmybury,2025-04-26,5.0,22
203,21,Howardbury,2025-09-10,6.0,20
204,29,Wrightfort,2024-09-11,5.0,34
205,48,Simpsonmouth,2025-09-15,5.0,15
206,29,Teresaborough,2026-02-27,10.0,25
207,24,New Linda,2024-04-18,4.0,22
208,55,Lake Meganmouth,2025-08-14,1.0,6
209,47,South Stephanieport,2024-07-18,2.0,19
210,18,Gonzalesfurt,2024-12-21,6.0,25
211,49,Louiston,2024-11-12,2.0,15
212,47,Branditown,2025-08-16,4.0,22
213,53,South Rachaelland,2025-07-13,4.0,18
214,48,East Karenmouth,2025-06-25,4.0,20
215,39,North Travismouth,2025-11-05,2.0,14
216,39,New Bradley,2026-01-27,7.0,21
217,34,Hancockview,2026-01-21,5.0,12
218,46,Jasmineberg,2026-02-10,4.0,8
219,24,New Douglasland,2025-06-11,6.0,21
220,36,South Anitahaven,2024-09-04,7.0,24
221,30,Morganburgh,2025-12-28,2.0,12
222,60,North Jacqueline,2025-04-24,3.0,24
223,46,South Kellyfort,2024-05-09,7.0,26
224,37,Leehaven,2025-11-11,5.0,15
225,56,North Dustin,2024-11-17,4.0,13
226,58,East Stevenborough,2025-01-28,5.0,12
227,33,Moralesborough,2026-02-27,5.0,15
228,50,Christinatown,2024-03-16,6.0,21
229,33,Port Sherylhaven,2024-08-13,5.0,24
230,57,West Kevinberg,2026-01-11,7.0,18
231,58,East Susanbury,2024-04-19,4.0,23
232,47,North Robert,2025-09-18,7.0,15
233,32,Port James,2025-03-06,1.0,12
234,52,Myersshire,2025-09-25,9.0,20
235,45,East Timton,2024-08-25,3.0,13
236,34,North Waynehaven,2024-03-26,7.0,21
237,27,Amybury,2025-02-16,5.0,15
238,60,Mooreton,2025-02-17,2.0,9
239,36,Martinport,2024-11-12,8.0,21
240,40,Kristineton,2024-04-02,5.0,21
241,25,New Nancy,2025-03-20,4.0,16
242,53,Williamsborough,2025-03-13,7.0,28
243,54,Lawsonstad,2024-06-26,5.0,25
244,33,New Noah,2025-08-04,4.0,17
245,29,Garciahaven,2025-12-12,8.0,21
246,44,Hendersonstad,2024-07-28,7.0,23
247,40,South Kelsey,2024-09-27,6.0,20
248,43,South Briannaport,2024-03-28,9.0,25
249,42,Sparkschester,2025-03-25,6.0,19
250,44,South Julieburgh,2025-09-25,2.0,20
251,24,Lopezmouth,2025-04-29,8.0,23
252,28,South Stephanieton,2025-10-17,5.0,21
253,59,Ericchester,2024-04-22,3.0,13
254,43,Nicolestad,2024-12-25,4.0,18
255,28,West Kathy,2025-09-21,3.0,19
256,26,Dorothyton,2024-07-29,4.0,18
257,36,Ramirezmouth,2025-10-21,1.0,10
258,26,Elizabethborough,2025-01-31,7.0,23
259,36,New Margaret,2024-09-03,8.0,24
260,35,South Jackchester,2024-07-27,5.0,26
261,37,Fowlerfurt,2025-01-18,10.0,24
262,21,Berryfurt,2025-02-05,4.0,19
263,46,West Tammy,2024-11-23,3.0,17
264,26,South Marcus,2025-11-03,4.0,16
265,46,South Jessica,2024-03-23,9.0,21
266,34,South Peter,2025-08-17,5.0,20
267,41,Tanyatown,2026-03-02,4.0,17
268,35,Williamport,2024-12-28,8.0,27
269,34,Chadside,2024-06-08,6.0,28
270,31,Westchester,2026-01-18,4.0,18
271,20,Clarkland,2024-12-27,9.0,22
272,29,West Danielburgh,2025-06-23,2.0,20
273,49,East Brianhaven,2025-02-01,5.0,17
274,25,Amandaville,2024-06-30,2.0,22
275,19,Port Kathleenview,2024-05-08,6.0,22
276,54,Castillomouth,2025-09-20,5.0,23
277,46,Thomastown,2025-02-05,6.0,18
278,53,East Michael,2024-04-05,6.0,22
279,51,West Hannah,2025-07-15,5.0,21
280,24,Port Eric,2024-06-19,2.0,16
281,36,Smithborough,2026-03-06,1.0,20
282,55,Valeriestad,2026-02-16,6.0,23
283,45,Walshburgh,2025-12-16,2.0,16
284,38,Port Dustinbury,2024-04-10,6.0,20
285,42,Mauriceburgh,2024-10-07,4.0,24
286,18,East Brandon,2025-05-01,1.0,12
287,48,Robertastad,2024-04-28,6.0,16
288,60,West Travisstad,2025-02-08,6.0,18
289,46,Port Sharon,2024-08-16,11.0,32
290,34,Port Emily,2024-05-21,4.0,11
291,41,Martinezmouth,2024-11-20,7.0,23
292,44,Margaretview,2025-03-11,4.0,20
293,22,Adamport,2025-03-15,3.0,23
294,46,Reginaldton,2024-03-31,4.0,30
295,38,Sarahfurt,2024-11-09,5.0,27
296,44,Lake Dennis,2025-01-20,3.0,18
297,35,Wallsburgh,2024-10-28,6.0,17
298,55,Townsendfort,2025-06-23,2.0,17
299,45,West Lawrencemouth,2025-12-25,5.0,22
300,56,Dorothyberg,2026-01-27,2.0,19
301,20,Jenkinsmouth,2024-08-31,2.0,10
302,42,Kennedychester,2024-05-15,7.0,20
303,22,West Kevinton,2024-11-04,5.0,18
304,24,Lake Jose,2025-01-20,9.0,24
305,53,Katelynburgh,2024-09-13,6.0,23
306,22,Port Elizabeth,2025-02-22,4.0,32
307,25,Amyshire,2026-01-13,5.0,17
308,54,Wangburgh,2025-12-08,8.0,20
309,19,Candiceville,2025-07-26,8.0,25
310,52,Williamsfort,2025-07-10,2.0,14
311,34,New Antoniomouth,2026-02-14,5.0,19
312,26,Merrittside,2026-02-16,4.0,19
313,34,Taylorton,2025-05-25,5.0,23
314,59,Lake David,2024-12-01,2.0,19
315,59,North Jillland,2025-01-31,6.0,16
316,18,Hickmantown,2024-08-26,4.0,32
317,46,Christopherstad,2025-10-28,5.0,21
318,59,West Christopherstad,2025-09-14,6.0,19
319,34,Joseborough,2025-11-26,8.0,19
320,43,Jonathanmouth,2025-05-26,6.0,22
321,26,Port Justin,2025-07-23,3.0,15
322,39,Amandaville,2024-03-17,6.0,16
323,51,North Mark,2024-10-28,3.0,19
324,28,New Nancy,2024-12-08,7.0,27
325,34,Nicolemouth,2025-04-11,5.0,18
326,42,Carpenterborough,2025-06-20,3.0,22
327,31,Port Erik,2025-12-02,2.0,25
328,49,South Brooke,2025-02-24,3.0,19
329,28,Port Jessicastad,2024-04-05,5.0,18
330,43,South Donald,2026-02-22,5.0,28
331,39,Robinton,2024-08-09,7.0,24
332,42,Simsberg,2025-09-27,4.0,14
333,52,Lake Carla,2024-05-04,6.0,19
334,22,West Stacy,2024-08-07,8.0,21
335,52,Andrewmouth,2024-08-20,7.0,21
336,34,East Trevorstad,2024-07-25,4.0,15
337,34,Bartlettfort,2025-05-27,4.0,15
338,29,Jonesville,2025-07-01,4.0,24
339,29,Farmerview,2025-02-15,3.0,19
340,55,North Eugeneside,2025-01-23,8.0,21
341,26,East Amanda,2025-02-05,6.0,30
342,54,North Micheleshire,2025-07-09,9.0,26
343,19,Ariasborough,2026-03-05,1.0,18
344,30,Shelbytown,2025-03-07,3.0,16
345,52,Daniellefurt,2025-08-22,2.0,18
346,48,Meredithstad,2025-04-11,3.0,16
347,26,West Stacey,2024-04-29,6.0,18
348,37,Hernandezland,2024-12-05,9.0,26
349,59,Harmonland,2025-08-25,7.0,21
350,53,Tinaville,2024-10-30,3.0,21
351,31,Benjaminhaven,2025-10-11,8.0,21
352,34,New Jessica,2025-08-11,7.0,25
353,48,Michellefort,2024-08-13,11.0,26
354,47,Port Travismouth,2025-03-30,6.0,26
355,55,Robertsonhaven,2026-02-10,9.0,22
356,49,Port Lori,2024-08-19,7.0,17
357,28,Timothymouth,2025-07-03,2.0,11
358,42,Dennischester,2025-09-25,6.0,23
359,58,South Evelyn,2025-11-06,4.0,14
360,45,Victoriaberg,2024-10-24,3.0,16
361,59,Wangside,2024-07-04,4.0,22
362,52,Brownburgh,2025-08-08,3.0,19
363,47,Cherrytown,2024-06-29,5.0,28
364,29,East Zachary,2024-08-07,4.0,16
365,39,North Robertton,2025-06-01,3.0,21
366,41,Wigginsside,2024-05-24,6.0,19
367,41,Christopherburgh,2025-01-03,3.0,14
368,22,South Martin,2025-07-12,8.0,19
369,37,Gonzalezshire,2024-12-12,4.0,17
370,42,Brianstad,2024-06-28,2.0,18
371,50,Gregoryton,2024-09-01,5.0,18
372,59,West Stevenhaven,2025-11-16,5.0,17
373,26,East Scott,2024-11-24,3.0,18
374,48,South Elizabeth,2025-03-06,5.0,16
375,52,Turnerfurt,2024-12-29,6.0,20
376,18,Ramosburgh,2025-05-31,7.0,20
377,27,Tristanbury,2025-08-08,4.0,17
378,28,Rileyfurt,2024-05-27,6.0,19
379,51,Burnettview,2025-06-25,5.0,23
380,27,Jacksonburgh,2025-06-15,9.0,27
381,55,Lake Joy,2025-11-25,1.0,19
382,27,Laratown,2024-11-02,11.0,20
383,41,Claudiaton,2024-04-08,5.0,30
384,51,Billyburgh,2026-03-09,3.0,18
385,51,Susanmouth,2026-02-28,5.0,20
386,24,New Amandamouth,2024-10-22,2.0,16
387,43,Johnland,2024-12-28,5.0,20
388,26,East Robert,2025-01-31,2.0,12
389,27,Bradleyview,2025-03-31,6.0,14
390,44,Christopherberg,2024-06-22,6.0,23
391,33,Port Brian,2024-06-06,5.0,25
392,26,Wilsonstad,2024-06-17,4.0,19
393,37,Lake Lee,2025-10-30,5.0,22
394,20,North Amandabury,2025-06-30,6.0,17
395,31,Brownland,2025-11-26,2.0,19
396,43,Munozborough,2026-01-18,3.0,19
397,30,Edwardberg,2025-08-30,4.0,16
398,44,Fordfort,2025-05-13,6.0,17
399,34,Timothytown,2025-08-07,6.0,22
400,57,Katherinebury,2025-07-20,4.0,25
401,31,Watersport,2024-05-10,7.0,19
402,19,Levyborough,2026-02-10,4.0,26
403,56,Aaronport,2025-07-19,5.0,17
404,34,Shermanbury,2025-09-18,4.0,19
405,21,Silvaton,2024-04-13,3.0,16
406,50,Marvinberg,2025-01-24,3.0,13
407,32,Johnsonfort,2024-04-23,9.0,23
408,29,Port Coryville,2025-08-27,2.0,14
409,33,Poncemouth,2024-07-06,6.0,21
410,35,Perkinschester,2026-02-25,6.0,22
411,28,South Jamesland,2025-08-13,3.0,13
412,60,East Susan,2025-01-21,5.0,31
413,29,West Lindaburgh,2025-07-09,8.0,19
414,45,Sarahtown,2024-04-01,3.0,20
415,55,West Lisa,2025-03-30,7.0,26
416,39,Anthonyville,2025-01-11,3.0,24
417,29,Diazberg,2025-07-27,6.0,22
418,44,North Kimberlytown,2024-06-03,6.0,21
419,39,Reneeburgh,2024-08-14,6.0,20
420,32,Port Michelle,2025-08-07,5.0,17
421,29,Ryantown,2024-03-10,4.0,28
422,56,New Taylor,2025-04-12,4.0,19
423,21,Kylemouth,2024-09-30,6.0,20
424,47,Ochoaberg,2025-12-27,3.0,18
425,34,New Barbaraville,2024-10-01,9.0,26
426,58,Hubertown,2025-04-02,6.0,16
427,30,Port Kellyside,2024-09-29,5.0,16
428,50,Nicholasstad,2024-10-29,6.0,24
429,56,Englishchester,2025-03-25,9.0,25
430,45,Mitchellberg,2025-11-22,5.0,21
431,30,North Glenn,2024-06-14,5.0,17
432,36,West John,2025-11-29,4.0,19
433,25,Watsonport,2025-04-19,4.0,18
434,50,Port Johnathan,2024-10-04,2.0,20
435,58,Delacruzhaven,2024-12-25,4.0,15
436,19,Karaport,2024-06-11,2.0,18
437,30,East Andreaborough,2025-03-04,5.0,27
438,56,South Carolland,2026-01-18,2.0,19
439,40,Tannerchester,2024-03-16,2.0,13
440,28,West Kathrynland,2025-07-18,5.0,23
441,27,Kiaraberg,2024-08-27,8.0,25
442,53,Lake Monicafort,2025-11-03,6.0,23
443,56,Port Joseph,2025-12-31,13.0,21
444,55,New Meganburgh,2025-05-31,4.0,23
445,54,Robertport,2024-12-03,3.0,24
446,21,Devonhaven,2024-10-04,6.0,24
447,20,Georgestad,2025-04-09,2.0,16
448,38,Antoniofurt,2025-12-24,7.0,26
449,38,New Scott,2026-02-08,7.0,24
450,60,Rogermouth,2025-12-13,8.0,20
451,47,South Donnatown,2025-04-20,4.0,17
452,58,Salastown,2026-01-25,4.0,21
453,40,East Ryan,2024-05-17,6.0,27
454,19,Virginiaside,2025-11-12,6.0,25
455,54,Martinstad,2024-08-17,6.0,23
456,27,East Jonathanville,2025-12-09,6.0,20
457,41,Tammyborough,2025-07-04,0.0,16
458,43,Lake Jenniferport,2024-08-17,3.0,16
459,36,North Amandaville,2026-01-07,3.0,25
460,45,Murraytown,2026-02-16,8.0,28
461,22,Foxfort,2025-12-20,7.0,24
462,40,New Nancy,2026-01-14,7.0,20
463,56,Ernesthaven,2026-01-11,5.0,21
464,39,North Michael,2024-08-24,1.0,17
465,51,South Kevinberg,2025-06-04,5.0,22
466,30,South Kennethbury,2025-03-26,5.0,20
467,52,South Jack,2024-09-02,11.0,23
468,35,Simonland,2025-01-12,3.0,25
469,52,Debbieberg,2024-07-15,6.0,13
470,45,West Anthonyberg,2026-01-19,5.0,17
471,33,East Karenhaven,2024-09-30,2.0,23
472,57,Stewartland,2025-02-26,3.0,24
473,38,West Christophertown,2025-10-31,3.0,15
474,21,Rogerton,2025-04-06,8.0,26
475,46,West Caitlinmouth,2024-10-07,3.0,12
476,23,Scottton,2024-08-26,3.0,19
477,50,New Amy,2025-06-05,5.0,15
478,42,Warrenshire,2025-05-27,4.0,24
479,59,Lake Ashleyside,2025-09-16,2.0,18
480,53,East William,2025-04-16,4.0,17
481,20,Lake Angelachester,2024-04-14,6.0,21
482,28,Lake Darrell,2025-02-05,2.0,19
483,32,Parkerville,2024-08-06,3.0,20
484,58,Port Jontown,2024-10-03,2.0,11
485,25,Lake Raymond,2025-04-08,5.0,19
486,44,West Stephanieton,2025-07-03,8.0,16
487,60,Russellfurt,2025-12-24,3.0,15
488,57,Lake Elizabeth,2026-02-21,1.0,16
489,27,Lake Travisfort,2025-08-26,3.0,22
490,41,Martinezstad,2024-12-20,6.0,20
491,33,Port Victorside,2024-12-02,4.0,20
492,37,East Jeffrey,2025-09-18,6.0,18
493,47,West David,2025-12-05,4.0,23
494,55,Hernandezton,2024-06-09,1.0,7
495,40,Lake Roystad,2024-07-05,7.0,24
496,47,New Wanda,2025-12-29,10.0,27
497,42,Richardbury,2026-02-16,3.0,17
498,54,Alyssaside,2024-03-17,3.0,26
499,41,South Angela,2025-07-12,4.0,29
500,43,Lake Cassandra,2025-10-14,4.0,18
501,18,Whiteside,2025-09-23,5.0,25
502,53,Coreyborough,2024-07-05,2.0,13
503,26,Jamesville,2024-08-27,2.0,18
504,30,Fullermouth,2025-06-17,3.0,25
505,36,North Melanie,2024-07-06,6.0,23
506,43,East Megan,2025-07-12,7.0,17
507,23,Amyhaven,2024-06-26,5.0,20
508,54,Victorburgh,2024-08-04,4.0,23
509,31,North Kristen,2025-02-13,7.0,29
510,48,South Morganfort,2025-11-04,5.0,30
511,39,Johnathanside,2024-09-30,3.0,18
512,58,Hallburgh,2024-12-17,4.0,14
513,29,Chandlerburgh,2024-10-09,8.0,28
514,53,New Stacey,2026-02-15,2.0,12
515,32,Robinsonton,2025-11-05,7.0,20
516,33,Ronaldville,2025-05-31,6.0,22
517,25,South Kristie,2025-10-07,5.0,19
518,47,North Tyler,2026-01-29,3.0,27
519,21,Jessicatown,2024-12-30,3.0,16
520,57,West Laura,2025-07-01,3.0,16
521,26,Port Yvonne,2024-07-18,6.0,28
522,34,Coxshire,2025-04-18,4.0,20
523,56,South Amanda,2026-01-15,4.0,20
524,31,Katherineberg,2024-09-01,7.0,22
525,27,Barreramouth,2025-09-15,8.0,18
526,24,Petersbury,2026-03-02,2.0,16
527,27,Robinsonside,2026-02-06,4.0,26
528,49,Jordanmouth,2026-02-20,3.0,21
529,34,New Nicole,2026-01-30,5.0,22
530,28,Taylorchester,2024-09-26,3.0,16
531,57,Markville,2024-12-17,4.0,14
532,20,Robbinsland,2025-08-30,7.0,20
533,49,West Ericberg,2025-02-03,3.0,15
534,49,New Christopher,2025-06-19,3.0,23
535,37,Port Julian,2026-03-01,3.0,21
536,22,Port Craigburgh,2025-03-21,5.0,17
537,18,East Abigailfort,2024-04-15,3.0,18
538,40,Cardenasborough,2026-02-04,5.0,16
539,50,Seanburgh,2025-02-26,5.0,14
540,42,Aaronbury,2024-11-06,3.0,18
541,26,New Dianaton,2025-07-31,5.0,16
542,22,New Anthonytown,2026-01-15,1.0,18
543,56,Calebmouth,2024-08-24,7.0,22
544,50,Port Antonio,2025-11-30,6.0,24
545,50,South Jennifer,2025-08-20,4.0,15
546,33,Morganmouth,2024-07-14,5.0,18
547,48,Michaelside,2025-06-10,7.0,25
548,51,Millerview,2024-07-20,2.0,25
549,55,Jefferyside,2026-02-21,4.0,18
550,29,Colinburgh,2026-01-27,8.0,23
551,25,Port Taylor,2025-11-14,5.0,26
552,55,East Kelsey,2025-08-21,4.0,23
553,36,North Meghantown,2024-09-17,5.0,20
554,58,Destinybury,2025-11-15,3.0,14
555,37,North Jamie,2024-10-14,5.0,19
556,54,Amymouth,2025-04-23,2.0,20
557,31,Taylorside,2024-05-25,8.0,20
558,40,East Jeffrey,2025-04-02,4.0,24
559,22,Louisburgh,2024-04-27,3.0,25
560,28,Masseymouth,2024-06-18,5.0,21
561,30,North Robert,2024-03-12,5.0,22
562,22,East Barbara,2026-01-11,7.0,20
563,22,Mariaview,2026-01-24,3.0,17
564,18,Alexischester,2024-07-05,2.0,19
565,52,Port Tiffany,2024-08-11,3.0,19
566,36,Chambersberg,2025-03-09,5.0,13
567,39,Lake Henry,2025-02-27,4.0,25
568,55,South Eileen,2024-11-15,4.0,17
569,43,Howelltown,2025-03-15,5.0,26
570,21,Port Deniseborough,2025-09-13,3.0,18
571,54,Karenburgh,2026-02-13,9.0,27
572,23,Lake Thomas,2024-07-20,3.0,21
573,26,West Robinmouth,2024-07-31,5.0,20
574,53,Adamfort,2025-09-18,2.0,17
575,44,South Johnstad,2026-01-13,6.0,19
576,44,Lake Brianfurt,2025-07-07,7.0,26
577,31,Brandonbury,2024-09-19,5.0,21
578,38,South Justin,2024-10-13,5.0,19
579,48,Chapmanmouth,2024-06-21,8.0,25
580,20,New Hunterfort,2024-04-23,6.0,27
581,33,South Charlesview,2024-06-02,4.0,22
582,33,Robinsonburgh,2024-11-20,3.0,21
583,40,Michaelmouth,2025-07-30,6.0,24
584,32,East James,2024-09-18,5.0,19
