user_id,age,location,signup_date,total_purchases,total_events,segment
128,47,South Michele,2025-09-23,6.0,20,3
129,19,Lake William,2024-06-16,3.0,25,2
130,55,Christopherland,2025-12-10,7.0,18,3
131,21,Port Christophermouth,2025-08-02,2.0,13,0
132,39,Charleston,2025-02-25,7.0,21,3
133,24,New Robert,2024-09-11,8.0,25,1
134,40,Bettybury,2025-05-08,7.0,18,3
135,55,Kimberlymouth,2025-12-08,5.0,21,2
136,45,Port Davidton,2024-09-23,2.0,19,0
137,46,Josephside,2025-02-26,6.0,18,3
138,43,Danielton,2024-09-22,11.0,29,1
139,26,Connerview,2024-11-19,4.0,23,2
140,19,West Erinview,2025-05-05,6.0,19,3
141,60,Toddland,2024-06-05,5.0,21,2
142,57,Ricardoland,2025-04-21,5.0,26,2
143,25,Chapmantown,2025-04-14,4.0,18,3
144,29,New Barbara,2024-11-11,3.0,16,0
145,19,Sharonview,2025-08-28,4.0,23,2
146,49,Lake Lisafort,2025-07-09,8.0,17,3
147,59,Lake Jamesview,2025-09-14,3.0,15,0
148,38,South Jennifermouth,2024-09-24,5.0,20,3
149,40,South Dennis,2026-03-05,4.0,21,2
150,20,North Trevorberg,2025-05-19,2.0,19,0
151,39,North Tina,2026-01-11,1.0,21,0
152,57,Josephbury,2024-04-29,5.0,22,2
153,43,East Kimport,2025-08-24,3.0,16,0
154,18,Atkinschester,2025-08-05,5.0,16,3
155,46,West Jenniferton,2025-06-17,9.0,21,1
156,23,Robertsview,2025-05-27,5.0,15,3
157,22,Port Jamie,2024-05-16,8.0,29,1
158,52,Port Bobby,2025-05-27,2.0,14,0
159,48,Port Whitney,2024-09-20,6.0,29,1
160,36,Fernandezfurt,2024-08-16,4.0,22,2
161,27,Johnsonchester,2026-03-02,7.0,21,3
162,27,North Kathryntown,2024-04-28,3.0,13,0
163,59,Lake Dawn,2024-11-01,11.0,29,1
164,31,Martinezland,2024-11-05,4.0,18,3
165,22,Taylorview,2025-02-08,4.0,20,2
166,51,Lake Albertchester,2024-11-04,7.0,23,1
167,29,Cruzview,2025-06-30,1.0,18,0
168,59,Port Kelsey,2025-03-27,7.0,25,1
169,52,East Charlene,2025-02-05,3.0,22,2
170,35,Jasonfurt,2024-11-06,2.0,19,0
171,45,Amberville,2024-06-12,3.0,21,2
172,27,Kingville,2024-06-27,6.0,27,1
173,56,Calvinmouth,2026-01-27,4.0,19,3
174,59,East Kelsey,2025-07-13,4.0,21,2
175,23,Melissaview,2024-04-24,4.0,13,0
176,55,Lake Kevinburgh,2025-11-02,5.0,19,3
177,58,East Johnmouth,2024-10-10,6.0,22,2
178,21,Kristenchester,2024-09-17,6.0,29,1
179,31,Nathanton,2025-06-09,5.0,22,2
180,32,East Morgan,2024-03-27,5.0,19,3
181,40,Danielport,2025-02-18,8.0,22,1
182,35,Glennstad,2025-09-25,4.0,20,2
183,41,Wallacefort,2024-12-12,4.0,19,3
184,31,Rebeccaburgh,2024-09-01,4.0,13,0
185,52,Brandonfort,2025-03-21,4.0,19,3
186,48,Summersburgh,2025-08-24,4.0,17,0
187,42,South Edward,2025-05-25,6.0,23,2
188,57,Shannonborough,2026-01-30,4.0,12,0
189,54,Port Scott,2025-10-01,5.0,19,3
190,28,Boyerview,2024-10-14,6.0,19,3
191,56,Daleport,2025-12-16,4.0,16,0
192,26,Allenview,2024-09-20,2.0,20,0
193,43,East Scott,2025-05-21,3.0,24,2
194,37,Port Anthony,2024-08-25,4.0,17,0
195,28,Donaldport,2025-10-01,3.0,20,2
196,32,New William,2024-05-12,2.0,15,0
197,21,South Robert,2025-03-08,2.0,23,2
198,55,South Catherine,2025-07-08,5.0,20,3
199,29,Lake Ashley,2024-12-14,3.0,21,2
200,24,South Micheleborough,2025-02-10,2.0,10,0
201,60,Mcleanton,2026-01-13,3.0,13,0
202,60,Port Jimmybury,2025-04-26,5.0,22,2
203,21,Howardbury,2025-09-10,6.0,20,3
204,29,Wrightfort,2024-09-11,5.0,34,1
205,48,Simpsonmouth,2025-09-15,5.0,15,3
206,29,Teresaborough,2026-02-27,10.0,25,1
207,24,New Linda,2024-04-18,4.0,22,2
208,55,Lake Meganmouth,2025-08-14,1.0,6,0
209,47,South Stephanieport,2024-07-18,2.0,19,0
210,18,Gonzalesfurt,2024-12-21,6.0,25,2
211,49,Louiston,2024-11-12,2.0,15,0
212,47,Branditown,2025-08-16,4.0,22,2
213,53,South Rachaelland,2025-07-13,4.0,18,3
214,48,East Karenmouth,2025-06-25,4.0,20,2
215,39,North Travismouth,2025-11-05,2.0,14,0
216,39,New Bradley,2026-01-27,7.0,21,3
217,34,Hancockview,2026-01-21,5.0,12,0
218,46,Jasmineberg,2026-02-10,4.0,8,0
219,24,New Douglasland,2025-06-11,6.0,21,3
220,36,South Anitahaven,2024-09-04,7.0,24,1
221,30,Morganburgh,2025-12-28,2.0,12,0
222,60,North Jacqueline,2025-04-24,3.0,24,2
223,46,South Kellyfort,2024-05-09,7.0,26,1
224,37,Leehaven,2025-11-11,5.0,15,3
225,56,North Dustin,2024-11-17,4.0,13,0
226,58,East Stevenborough,2025-01-28,5.0,12,0
227,33,Moralesborough,2026-02-27,5.0,15,3
228,50,Christinatown,2024-03-16,6.0,21,3
229,33,Port Sherylhaven,2024-08-13,5.0,24,2
230,57,West Kevinberg,2026-01-11,7.0,18,3
231,58,East Susanbury,2024-04-19,4.0,23,2
232,47,North Robert,2025-09-18,7.0,15,3
233,32,Port James,2025-03-06,1.0,12,0
234,52,Myersshire,2025-09-25,9.0,20,1
235,45,East Timton,2024-08-25,3.0,13,0
236,34,North Waynehaven,2024-03-26,7.0,21,3
237,27,Amybury,2025-02-16,5.0,15,3
238,60,Mooreton,2025-02-17,2.0,9,0
239,36,Martinport,2024-11-12,8.0,21,1
240,40,Kristineton,2024-04-02,5.0,21,2
241,25,New Nancy,2025-03-20,4.0,16,0
242,53,Williamsborough,2025-03-13,7.0,28,1
243,54,Lawsonstad,2024-06-26,5.0,25,2
244,33,New Noah,2025-08-04,4.0,17,0
245,29,Garciahaven,2025-12-12,8.0,21,1
246,44,Hendersonstad,2024-07-28,7.0,23,1
247,40,South Kelsey,2024-09-27,6.0,20,3
248,43,South Briannaport,2024-03-28,9.0,25,1
249,42,Sparkschester,2025-03-25,6.0,19,3
250,44,South Julieburgh,2025-09-25,2.0,20,0
251,24,Lopezmouth,2025-04-29,8.0,23,1
252,28,South Stephanieton,2025-10-17,5.0,21,2
253,59,Ericchester,2024-04-22,3.0,13,0
254,43,Nicolestad,2024-12-25,4.0,18,3
255,28,West Kathy,2025-09-21,3.0,19,0
256,26,Dorothyton,2024-07-29,4.0,18,3
257,36,Ramirezmouth,2025-10-21,1.0,10,0
258,26,Elizabethborough,2025-01-31,7.0,23,1
259,36,New Margaret,2024-09-03,8.0,24,1
260,35,South Jackchester,2024-07-27,5.0,26,2
261,37,Fowlerfurt,2025-01-18,10.0,24,1
262,21,Berryfurt,2025-02-05,4.0,19,3
263,46,West Tammy,2024-11-23,3.0,17,0
264,26,South Marcus,2025-11-03,4.0,16,0
265,46,South Jessica,2024-03-23,9.0,21,1
266,34,South Peter,2025-08-17,5.0,20,3
267,41,Tanyatown,2026-03-02,4.0,17,0
268,35,Williamport,2024-12-28,8.0,27,1
269,34,Chadside,2024-06-08,6.0,28,1
270,31,Westchester,2026-01-18,4.0,18,3
271,20,Clarkland,2024-12-27,9.0,22,1
272,29,West Danielburgh,2025-06-23,2.0,20,0
273,49,East Brianhaven,2025-02-01,5.0,17,3
274,25,Amandaville,2024-06-30,2.0,22,2
275,19,Port Kathleenview,2024-05-08,6.0,22,2
276,54,Castillomouth,2025-09-20,5.0,23,2
277,46,Thomastown,2025-02-05,6.0,18,3
278,53,East Michael,2024-04-05,6.0,22,2
279,51,West Hannah,2025-07-15,5.0,21,2
280,24,Port Eric,2024-06-19,2.0,16,0
281,36,Smithborough,2026-03-06,1.0,20,0
282,55,Valeriestad,2026-02-16,6.0,23,2
283,45,Walshburgh,2025-12-16,2.0,16,0
284,38,Port Dustinbury,2024-04-10,6.0,20,3
285,42,Mauriceburgh,2024-10-07,4.0,24,2
286,18,East Brandon,2025-05-01,1.0,12,0
287,48,Robertastad,2024-04-28,6.0,16,3
288,60,West Travisstad,2025-02-08,6.0,18,3
289,46,Port Sharon,2024-08-16,11.0,32,1
290,34,Port Emily,2024-05-21,4.0,11,0
291,41,Martinezmouth,2024-11-20,7.0,23,1
292,44,Margaretview,2025-03-11,4.0,20,2
293,22,Adamport,2025-03-15,3.0,23,2
294,46,Reginaldton,2024-03-31,4.0,30,2
295,38,Sarahfurt,2024-11-09,5.0,27,2
296,44,Lake Dennis,2025-01-20,3.0,18,0
297,35,Wallsburgh,2024-10-28,6.0,17,3
298,55,Townsendfort,2025-06-23,2.0,17,0
299,45,West Lawrencemouth,2025-12-25,5.0,22,2
300,56,Dorothyberg,2026-01-27,2.0,19,0
301,20,Jenkinsmouth,2024-08-31,2.0,10,0
302,42,Kennedychester,2024-05-15,7.0,20,3
303,22,West Kevinton,2024-11-04,5.0,18,3
304,24,Lake Jose,2025-01-20,9.0,24,1
305,53,Katelynburgh,2024-09-13,6.0,23,2
306,22,Port Elizabeth,2025-02-22,4.0,32,2
307,25,Amyshire,2026-01-13,5.0,17,3
308,54,Wangburgh,2025-12-08,8.0,20,3
309,19,Candiceville,2025-07-26,8.0,25,1
310,52,Williamsfort,2025-07-10,2.0,14,0
311,34,New Antoniomouth,2026-02-14,5.0,19,3
312,26,Merrittside,2026-02-16,4.0,19,3
313,34,Taylorton,2025-05-25,5.0,23,2
314,59,Lake David,2024-12-01,2.0,19,0
315,59,North Jillland,2025-01-31,6.0,16,3
316,18,Hickmantown,2024-08-26,4.0,32,2
317,46,Christopherstad,2025-10-28,5.0,21,2
318,59,West Christopherstad,2025-09-14,6.0,19,3
319,34,Joseborough,2025-11-26,8.0,19,3
320,43,Jonathanmouth,2025-05-26,6.0,22,2
321,26,Port Justin,2025-07-23,3.0,15,0
322,39,Amandaville,2024-03-17,6.0,16,3
323,51,North Mark,2024-10-28,3.0,19,0
324,28,New Nancy,2024-12-08,7.0,27,1
325,34,Nicolemouth,2025-04-11,5.0,18,3
326,42,Carpenterborough,2025-06-20,3.0,22,2
327,31,Port Erik,2025-12-02,2.0,25,2
328,49,South Brooke,2025-02-24,3.0,19,0
329,28,Port Jessicastad,2024-04-05,5.0,18,3
330,43,South Donald,2026-02-22,5.0,28,2
331,39,Robinton,2024-08-09,7.0,24,1
332,42,Simsberg,2025-09-27,4.0,14,0
333,52,Lake Carla,2024-05-04,6.0,19,3
334,22,West Stacy,2024-08-07,8.0,21,1
335,52,Andrewmouth,2024-08-20,7.0,21,3
336,34,East Trevorstad,2024-07-25,4.0,15,0
337,34,Bartlettfort,2025-05-27,4.0,15,0
338,29,Jonesville,2025-07-01,4.0,24,2
339,29,Farmerview,2025-02-15,3.0,19,0
340,55,North Eugeneside,2025-01-23,8.0,21,1
341,26,East Amanda,2025-02-05,6.0,30,1
342,54,North Micheleshire,2025-07-09,9.0,26,1
343,19,Ariasborough,2026-03-05,1.0,18,0
344,30,Shelbytown,2025-03-07,3.0,16,0
345,52,Daniellefurt,2025-08-22,2.0,18,0
346,48,Meredithstad,2025-04-11,3.0,16,0
347,26,West Stacey,2024-04-29,6.0,18,3
348,37,Hernandezland,2024-12-05,9.0,26,1
349,59,Harmonland,2025-08-25,7.0,21,3
350,53,Tinaville,2024-10-30,3.0,21,2
351,31,Benjaminhaven,2025-10-11,8.0,21,1
352,34,New Jessica,2025-08-11,7.0,25,1
353,48,Michellefort,2024-08-13,11.0,26,1
354,47,Port Travismouth,2025-03-30,6.0,26,1
355,55,Robertsonhaven,2026-02-10,9.0,22,1
356,49,Port Lori,2024-08-19,7.0,17,3
357,28,Timothymouth,2025-07-03,2.0,11,0
358,42,Dennischester,2025-09-25,6.0,23,2
359,58,South Evelyn,2025-11-06,4.0,14,0
360,45,Victoriaberg,2024-10-24,3.0,16,0
361,59,Wangside,2024-07-04,4.0,22,2
362,52,Brownburgh,2025-08-08,3.0,19,0
363,47,Cherrytown,2024-06-29,5.0,28,2
364,29,East Zachary,2024-08-07,4.0,16,0
365,39,North Robertton,2025-06-01,3.0,21,2
366,41,Wigginsside,2024-05-24,6.0,19,3
367,41,Christopherburgh,2025-01-03,3.0,14,0
368,22,South Martin,2025-07-12,8.0,19,3
369,37,Gonzalezshire,2024-12-12,4.0,17,0
370,42,Brianstad,2024-06-28,2.0,18,0
371,50,Gregoryton,2024-09-01,5.0,18,3
372,59,West Stevenhaven,2025-11-16,5.0,17,3
373,26,East Scott,2024-11-24,3.0,18,0
374,48,South Elizabeth,2025-03-06,5.0,16,3
375,52,Turnerfurt,2024-12-29,6.0,20,3
376,18,Ramosburgh,2025-05-31,7.0,20,3
377,27,Tristanbury,2025-08-08,4.0,17,0
378,28,Rileyfurt,2024-05-27,6.0,19,3
379,51,Burnettview,2025-06-25,5.0,23,2
380,27,Jacksonburgh,2025-06-15,9.0,27,1
381,55,Lake Joy,2025-11-25,1.0,19,0
382,27,Laratown,2024-11-02,11.0,20,1
383,41,Claudiaton,2024-04-08,5.0,30,2
384,51,Billyburgh,2026-03-09,3.0,18,0
385,51,Susanmouth,2026-02-28,5.0,20,3
386,24,New Amandamouth,2024-10-22,2.0,16,0
387,43,Johnland,2024-12-28,5.0,20,3
388,26,East Robert,2025-01-31,2.0,12,0
389,27,Bradleyview,2025-03-31,6.0,14,3
390,44,Christopherberg,2024-06-22,6.0,23,2
391,33,Port Brian,2024-06-06,5.0,25,2
392,26,Wilsonstad,2024-06-17,4.0,19,3
393,37,Lake Lee,2025-10-30,5.0,22,2
394,20,North Amandabury,2025-06-30,6.0,17,3
395,31,Brownland,2025-11-26,2.0,19,0
396,43,Munozborough,2026-01-18,3.0,19,0
397,30,Edwardberg,2025-08-30,4.0,16,0
398,44,Fordfort,2025-05-13,6.0,17,3
399,34,Timothytown,2025-08-07,6.0,22,2
400,57,Katherinebury,2025-07-20,4.0,25,2
401,31,Watersport,2024-05-10,7.0,19,3
402,19,Levyborough,2026-02-10,4.0,26,2
403,56,Aaronport,2025-07-19,5.0,17,3
404,34,Shermanbury,2025-09-18,4.0,19,3
405,21,Silvaton,2024-04-13,3.0,16,0
406,50,Marvinberg,2025-01-24,3.0,13,0
407,32,Johnsonfort,2024-04-23,9.0,23,1
408,29,Port Coryville,2025-08-27,2.0,14,0
409,33,Poncemouth,2024-07-06,6.0,21,3
410,35,Perkinschester,2026-02-25,6.0,22,2
411,28,South Jamesland,2025-08-13,3.0,13,0
412,60,East Susan,2025-01-21,5.0,31,2
413,29,West Lindaburgh,2025-07-09,8.0,19,3
414,45,Sarahtown,2024-04-01,3.0,20,2
415,55,West Lisa,2025-03-30,7.0,26,1
416,39,Anthonyville,2025-01-11,3.0,24,2
417,29,Diazberg,2025-07-27,6.0,22,2
418,44,North Kimberlytown,2024-06-03,6.0,21,3
419,39,Reneeburgh,2024-08-14,6.0,20,3
420,32,Port Michelle,2025-08-07,5.0,17,3
421,29,Ryantown,2024-03-10,4.0,28,2
422,56,New Taylor,2025-04-12,4.0,19,3
423,21,Kylemouth,2024-09-30,6.0,20,3
424,47,Ochoaberg,2025-12-27,3.0,18,0
425,34,New Barbaraville,2024-10-01,9.0,26,1
426,58,Hubertown,2025-04-02,6.0,16,3
427,30,Port Kellyside,2024-09-29,5.0,16,3
428,50,Nicholasstad,2024-10-29,6.0,24,2
429,56,Englishchester,2025-03-25,9.0,25,1
430,45,Mitchellberg,2025-11-22,5.0,21,2
431,30,North Glenn,2024-06-14,5.0,17,3
432,36,West John,2025-11-29,4.0,19,3
433,25,Watsonport,2025-04-19,4.0,18,3
434,50,Port Johnathan,2024-10-04,2.0,20,0
435,58,Delacruzhaven,2024-12-25,4.0,15,0
436,19,Karaport,2024-06-11,2.0,18,0
437,30,East Andreaborough,2025-03-04,5.0,27,2
438,56,South Carolland,2026-01-18,2.0,19,0
439,40,Tannerchester,2024-03-16,2.0,13,0
440,28,West Kathrynland,2025-07-18,5.0,23,2
441,27,Kiaraberg,2024-08-27,8.0,25,1
442,53,Lake Monicafort,2025-11-03,6.0,23,2
443,56,Port Joseph,2025-12-31,13.0,21,1
444,55,New Meganburgh,2025-05-31,4.0,23,2
445,54,Robertport,2024-12-03,3.0,24,2
446,21,Devonhaven,2024-10-04,6.0,24,2
447,20,Georgestad,2025-04-09,2.0,16,0
448,38,Antoniofurt,2025-12-24,7.0,26,1
449,38,New Scott,2026-02-08,7.0,24,1
450,60,Rogermouth,2025-12-13,8.0,20,3
451,47,South Donnatown,2025-04-20,4.0,17,0
452,58,Salastown,2026-01-25,4.0,21,2
453,40,East Ryan,2024-05-17,6.0,27,1
454,19,Virginiaside,2025-11-12,6.0,25,2
455,54,Martinstad,2024-08-17,6.0,23,2
456,27,East Jonathanville,2025-12-09,6.0,20,3
457,41,Tammyborough,2025-07-04,0.0,16,0
458,43,Lake Jenniferport,2024-08-17,3.0,16,0
459,36,North Amandaville,2026-01-07,3.0,25,2
460,45,Murraytown,2026-02-16,8.0,28,1
461,22,Foxfort,2025-12-20,7.0,24,1
462,40,New Nancy,2026-01-14,7.0,20,3
463,56,Ernesthaven,2026-01-11,5.0,21,2
464,39,North Michael,2024-08-24,1.0,17,0
465,51,South Kevinberg,2025-06-04,5.0,22,2
466,30,South Kennethbury,2025-03-26,5.0,20,3
467,52,South Jack,2024-09-02,11.0,23,1
468,35,Simonland,2025-01-12,3.0,25,2
469,52,Debbieberg,2024-07-15,6.0,13,3
470,45,West Anthonyberg,2026-01-19,5.0,17,3
471,33,East Karenhaven,2024-09-30,2.0,23,2
472,57,Stewartland,2025-02-26,3.0,24,2
473,38,West Christophertown,2025-10-31,3.0,15,0
474,21,Rogerton,2025-04-06,8.0,26,1
475,46,West Caitlinmouth,2024-10-07,3.0,12,0
476,23,Scottton,2024-08-26,3.0,19,0
477,50,New Amy,2025-06-05,5.0,15,3
478,42,Warrenshire,2025-05-27,4.0,24,2
479,59,Lake Ashleyside,2025-09-16,2.0,18,0
480,53,East William,2025-04-16,4.0,17,0
481,20,Lake Angelachester,2024-04-14,6.0,21,3
482,28,Lake Darrell,2025-02-05,2.0,19,0
483,32,Parkerville,2024-08-06,3.0,20,2
484,58,Port Jontown,2024-10-03,2.0,11,0
485,25,Lake Raymond,2025-04-08,5.0,19,3
486,44,West Stephanieton,2025-07-03,8.0,16,3
487,60,Russellfurt,2025-12-24,3.0,15,0
488,57,Lake Elizabeth,2026-02-21,1.0,16,0
489,27,Lake Travisfort,2025-08-26,3.0,22,2
490,41,Martinezstad,2024-12-20,6.0,20,3
491,33,Port Victorside,2024-12-02,4.0,20,2
492,37,East Jeffrey,2025-09-18,6.0,18,3
493,47,West David,2025-12-05,4.0,23,2
494,55,Hernandezton,2024-06-09,1.0,7,0
495,40,Lake Roystad,2024-07-05,7.0,24,1
496,47,New Wanda,2025-12-29,10.0,27,1
497,42,Richardbury,2026-02-16,3.0,17,0
498,54,Alyssaside,2024-03-17,3.0,26,2
499,41,South Angela,2025-07-12,4.0,29,2
500,43,Lake Cassandra,2025-10-14,4.0,18,3
501,18,Whiteside,2025-09-23,5.0,25,2
502,53,Coreyborough,2024-07-05,2.0,13,0
503,26,Jamesville,2024-08-27,2.0,18,0
504,30,Fullermouth,2025-06-17,3.0,25,2
505,36,North Melanie,2024-07-06,6.0,23,2
506,43,East Megan,2025-07-12,7.0,17,3
507,23,Amyhaven,2024-06-26,5.0,20,3
508,54,Victorburgh,2024-08-04,4.0,23,2
509,31,North Kristen,2025-02-13,7.0,29,1
510,48,South Morganfort,2025-11-04,5.0,30,2
511,39,Johnathanside,2024-09-30,3.0,18,0
512,58,Hallburgh,2024-12-17,4.0,14,0
513,29,Chandlerburgh,2024-10-09,8.0,28,1
514,53,New Stacey,2026-02-15,2.0,12,0
515,32,Robinsonton,2025-11-05,7.0,20,3
516,33,Ronaldville,2025-05-31,6.0,22,2
517,25,South Kristie,2025-10-07,5.0,19,3
518,47,North Tyler,2026-01-29,3.0,27,2
519,21,Jessicatown,2024-12-30,3.0,16,0
520,57,West Laura,2025-07-01,3.0,16,0
521,26,Port Yvonne,2024-07-18,6.0,28,1
522,34,Coxshire,2025-04-18,4.0,20,2
523,56,South Amanda,2026-01-15,4.0,20,2
524,31,Katherineberg,2024-09-01,7.0,22,1
525,27,Barreramouth,2025-09-15,8.0,18,3
526,24,Petersbury,2026-03-02,2.0,16,0
527,27,Robinsonside,2026-02-06,4.0,26,2
528,49,Jordanmouth,2026-02-20,3.0,21,2
529,34,New Nicole,2026-01-30,5.0,22,2
530,28,Taylorchester,2024-09-26,3.0,16,0
531,57,Markville,2024-12-17,4.0,14,0
532,20,Robbinsland,2025-08-30,7.0,20,3
533,49,West Ericberg,2025-02-03,3.0,15,0
534,49,New Christopher,2025-06-19,3.0,23,2
535,37,Port Julian,2026-03-01,3.0,21,2
536,22,Port Craigburgh,2025-03-21,5.0,17,3
537,18,East Abigailfort,2024-04-15,3.0,18,0
538,40,Cardenasborough,2026-02-04,5.0,16,3
539,50,Seanburgh,2025-02-26,5.0,14,3
